0.5	0.0016046569991847348
1.0	0.0005815846982799023
1.5	0.00027689218756562405
2.0	0.00016257039044167978
2.5	8.946275647509709e-05
3.0	5.367423909334226e-05
3.5	3.0194989408786277e-05
4.0	1.8705005583346412e-05
4.5	9.816542744143611e-06
5.0	6.775910713683178e-06
5.5	4.628041095550481e-06
6.0	2.538512569354229e-06
6.5	2.007828124872971e-06
7.0	1.0262123107220587e-06
7.5	1.030040278069718e-06
8.0	5.100899154205053e-07
8.5	4.855341626192299e-07
9.0	4.935545777714806e-07
9.5	5.21053733949574e-07
10.0	5.026662757664777e-07
